objectid,youtubeid,title,creator,date,datecreated,subject,location name,file name,source,type,format,language,rights,citation,creative commons,image_alt_text,description,cataloger,,,,,
histoftrktwn_2021_hywf_010,,Hayward Field ,Hoffman Construction,2021,2021,Hayward Field,"Eugene, OR",https://www.hoffmancorp.com/project/hayward-field/,Hoffman Construction Company,Image;StillImage,jpeg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","Hoffman Construction. ""Hoffman Construction - Hayward Field."" Hayward Field, 2021, https://www.hoffmancorp.com/project/hayward-field/.",,"Professional photographs  of a renovated Hayward Field; a close up shots of the green seats, the indoor track facilities and the special layout of the arena to enhance the atmosphere for the athletes and fans",Still images of the hayward field rennonvations from 2020,Kaitlin McKay,,,,,
histoftrktwn_2020_hywf_011,,Hayward Field ,Paula Pintos,2020,2020,Hayward Field ,"Eugene, OR",https://www.archdaily.com/983099/hayward-field-srg-partnership/6299ec6d1c9dbc7134a2de43-hayward-field-srg-partnership-plan-concourse-level?next_project=no,Architect Daily Magazine,Image;StillImage,jpeg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""S.R.G. Partnership Designs Renovation of Hayward Field at University of Oregon."" ArchDaily, 2021, https://www.archdaily.com/983099/hayward-field-srg-partnership/6299ec6d1c9dbc7134a2de43-hayward-field-srg-partnership-plan-concourse-level?next_project=no.",,"Detailed architecture sketches of the olympic torch tower, the track, the seat layout, and building cross sections to show the layout and special features of the arena",Architecture sketches of hayward field's rennovation plans,Kaitlin McKay,,,,,
histoftrktwn_2021_hywf_028,JDlYbkV_8aY,Hayward Field,"Go Ducks, University of Oregon",2021,2021,Hayward Field ,"Eugene, OR",https://www.youtube.com/watch?v=JDlYbkV_8aY,University of Oregon Go Ducks Youtube,Image;MovingImage,mp4,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","Go Ducks. ""The Home of Oregon Track and Field."" Youtube, uploaded by University of Oregon, April 1, 2021, https://youtu.be/JDlYbkV_8aY?si=FVcWncYsRBP5udQc",,"A professionally shot video giving us a timeline of the building of Hayward Field, all of the thoughts that went into the rennovations as well as some sneak peeks of the facilities made specifically for the track athletes.",University of Oregon video that explains the importance of Hayward Field in the track and field world and why the renovations were for the better,Kaitlin McKay,,,,,
histoftrktwn_1952_bhay_013,,Bill Hayward,Bill Bowerman ,04/18/1952,04/18/1952,Bill Hayward,"Eugene, OR",https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD,Oregon Daily Emerald Archives,Text,pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","The Daily Emerald. ""Bill Hayward--A Man to Remember,"" April 18, 1952, https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD.
","<a href=""https://creativecommons.org/licenses/by-nd/4.0/"" target=""_blank"">Attribution-NoDerivs 4.0 International</a>","A newspaper article detailing the legacy that Bill Hayward left at the Oregon track team, and the impact he made at the University, told my his friend Bill Bowerman",A newspaper article written by Bill Bowerman about the impact Bill Hayward had at the University of Oregon.,Kaitlin McKay,,,,,
histoftrktwn_1973_hywf_014,,Hayward Field,Walter J Wentz,11/05/1973,11/05/1973,Hayward Field,"Eugene, OR",https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward,Oregon Daily Emerald Archives,Text,pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","The Daily Emerald. ""Hayward Facelift Reveals 'History'."" The Daily Emerald, November 5, 1973, https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>","A newspaper article detailing the work and time that went into building the original Hayward Field, mentions Bill Hayward and Dan Kelley and the amount of time they spent at the track",A newspaper article describing the process of building the original Hayward Field and when it will be unveiled so Oregon athletes could use it,Kaitlin McKay,,,,,
histoftrktwn_1947_demd_015,,Bill Hayward,Fred Taylor ,11/22/1947,11/22/1947,Bill Hayward,"Eugene, OR",https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/#words=Bill+Hayward,Oregon Daily Emerald Archives,Text,pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","The Daily Emerald. ""Civil War Reopens At 2."" Oregon Daily Emerald, November 22, 1947, https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/#words=Bill+Hayward.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",A newspaper with a side story on the topic of Hayward Day and all of the fesitivies that will come with it,A newspaper article that talks about the upcoming Civil War game in Oregon as well as the festivities that come with Hayward Day and that Bill Hayward might not be there to see them happen.,Kaitlin McKay,,,,,
histoftrktwn_1981_bhay_016,,Bill Hayward,Jim Vitti,05/20/1981,05/20/1981,Bill Hayward,"Eugene, OR",https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward,Oregon Daily Emerald Archives,Text,pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","The Daily Emerald. ""The Man in the White Hat."" The Daily Emerald, May 20, 1981, https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article describing 'the man in the white hat' also known as Track Coach Bill Hayward,"A newspaper article sharing the lasting impact Bill Hayward had at Oregon and in the track world, and how great of a man and coach he was.",Kaitlin McKay,,,,,
histoftrktwn_2019demd_017,,Bill Bowerman ,Emerald Media,1/11/2019,1/11/2019,Bill Bowerman,"Eugene, OR",https://oregondigital.org/concern/documents/fx71cx04r,Oregon Daily Emerald Archives,Text,pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","The Daily Emerald Archives. ""Bowerman's Living Legacies."" Oregon Digital, Jan 11, 2019., https://oregondigital.org/concern/documents/fx71cx04r.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article on the legacy that the late track coach Bill Bowerman left here in Oregon and in TrackTown,An entire newspaper dedicated to the legacy Bill Bowerman left in Oregon and Track Town,Kaitlin McKay,,,,,
hisoftrktwn_1970_hywf_002,,Hayward Field ,Lutes & Amundson,1970,1970,Hayward Field,"Eugene, OR",https://oregondigital.org/concern/images/df669410c,Bill Bowerman Papers/UO Athletics,Image;StillImage,jpeg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Field Rehabilitation."" Oregon Digital, 1970, https://oregondigital.org/concern/images/df669410c.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",A detailed sketch that shows where the construction of Hayward Field will take place off of Agate street.,The final layout of the construction of the original Hayward Field in relation to the rest of campus,Kaitlin McKay,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,|